Size,Type,InstanceID,Repetition,Algorithm,Threads,TimeMS
30,strongly_correlated,48,0,Parallel,12,15.4999
30,strongly_correlated,49,0,SequentialOptimized,1,3.7082
30,strongly_correlated,49,0,Parallel,4,1.51
30,strongly_correlated,49,0,Parallel,6,1.0462
30,strongly_correlated,49,0,Parallel,12,1.6402
32,strongly_correlated,0,0,SequentialOptimized,1,6.9483
32,strongly_correlated,0,0,Parallel,4,2.3339
32,strongly_correlated,0,0,Parallel,6,3.2402
32,strongly_correlated,0,0,Parallel,12,2.0695
32,strongly_correlated,1,0,SequentialOptimized,1,24.2047
32,strongly_correlated,1,0,Parallel,4,7.0601
32,strongly_correlated,1,0,Parallel,6,4.9365
32,strongly_correlated,1,0,Parallel,12,4.5221
32,strongly_correlated,2,0,SequentialOptimized,1,971.416
32,strongly_correlated,2,0,Parallel,4,270.916
32,strongly_correlated,2,0,Parallel,6,195.954
32,strongly_correlated,2,0,Parallel,12,111.21
32,strongly_correlated,3,0,SequentialOptimized,1,22.1997
32,strongly_correlated,3,0,Parallel,4,6.6495
32,strongly_correlated,3,0,Parallel,6,4.4785
32,strongly_correlated,3,0,Parallel,12,3.487
32,strongly_correlated,4,0,SequentialOptimized,1,16.5885
32,strongly_correlated,4,0,Parallel,4,5.0044
32,strongly_correlated,4,0,Parallel,6,3.613
32,strongly_correlated,4,0,Parallel,12,2.7639
32,strongly_correlated,5,0,SequentialOptimized,1,4.1812
32,strongly_correlated,5,0,Parallel,4,2.2006
32,strongly_correlated,5,0,Parallel,6,1.3466
32,strongly_correlated,5,0,Parallel,12,1.87
32,strongly_correlated,6,0,SequentialOptimized,1,10.653
32,strongly_correlated,6,0,Parallel,4,4.3019
32,strongly_correlated,6,0,Parallel,6,3.2568
32,strongly_correlated,6,0,Parallel,12,4.4802
32,strongly_correlated,7,0,SequentialOptimized,1,0.2873
32,strongly_correlated,7,0,Parallel,4,9.927
32,strongly_correlated,7,0,Parallel,6,2.6354
32,strongly_correlated,7,0,Parallel,12,5.1007
32,strongly_correlated,8,0,SequentialOptimized,1,2.1899
32,strongly_correlated,8,0,Parallel,4,1.3135
32,strongly_correlated,8,0,Parallel,6,0.999
32,strongly_correlated,8,0,Parallel,12,3.6
32,strongly_correlated,9,0,SequentialOptimized,1,19.9325
32,strongly_correlated,9,0,Parallel,4,6.0309
32,strongly_correlated,9,0,Parallel,6,4.3825
32,strongly_correlated,9,0,Parallel,12,3.9181
32,strongly_correlated,10,0,SequentialOptimized,1,346.366
32,strongly_correlated,10,0,Parallel,4,94.5693
32,strongly_correlated,10,0,Parallel,6,66.7525
32,strongly_correlated,10,0,Parallel,12,38.4605
32,strongly_correlated,11,0,SequentialOptimized,1,2.0589
32,strongly_correlated,11,0,Parallel,4,1.7072
32,strongly_correlated,11,0,Parallel,6,1.3232
32,strongly_correlated,11,0,Parallel,12,2.2646
32,strongly_correlated,12,0,SequentialOptimized,1,5.5315
32,strongly_correlated,12,0,Parallel,4,2.0276
32,strongly_correlated,12,0,Parallel,6,1.4634
32,strongly_correlated,12,0,Parallel,12,2.6786
32,strongly_correlated,13,0,SequentialOptimized,1,0.5908
32,strongly_correlated,13,0,Parallel,4,0.6286
32,strongly_correlated,13,0,Parallel,6,0.9246
32,strongly_correlated,13,0,Parallel,12,1.7266
32,strongly_correlated,14,0,SequentialOptimized,1,0.0453
32,strongly_correlated,14,0,Parallel,4,0.6072
32,strongly_correlated,14,0,Parallel,6,1.1564
32,strongly_correlated,14,0,Parallel,12,1.9449
32,strongly_correlated,15,0,SequentialOptimized,1,0.7013
32,strongly_correlated,15,0,Parallel,4,1.3523
32,strongly_correlated,15,0,Parallel,6,0.8424
32,strongly_correlated,15,0,Parallel,12,0.9179
32,strongly_correlated,16,0,SequentialOptimized,1,2.616
32,strongly_correlated,16,0,Parallel,4,1.2315
32,strongly_correlated,16,0,Parallel,6,0.8619
32,strongly_correlated,16,0,Parallel,12,1.18
